Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Chickfillet,12/15/2017,,$8.00,Food,,Cash,-$8.00,,$2705.13,Cash
Gparents Cambel B-Day,12/15/2017,$18.00,,Gift,Bank,,$18.00,,$2723.13,Bank
Mrs. Sue Christmas,12/17/2017,$10.00,,Gift,Cash,,$10.00,,$2733.13,Cash
Router,12/20/2017,,$15.00,Tech,,Cash,-$15.00,,$2718.13,Cash
Star Wars Ticket,12/23/2017,,$5.50,Entertainment,,Cash,-$5.50,,$2712.63,Cash
Gparents Swanson Christmas,12/23/2017,$50.00,,Gift,Bank,,$50.00,,$2762.63,Bank
Gparents Cambel Christmas,12/25/2017,$50.00,,Gift,Bank,,$50.00,,$2812.63,Bank
VHS Extra Food Money,12/31/2017,$16.16,,Food,Cash,,$16.16,,$2828.79,Cash
Matriculation Fee,1/7/2018,,$200.00,Direct College,,Bank,-$200.00,,$2628.79,Bank
1-12 Paycheck,1/12/2018,$110.48,,Work,Bank,,$110.48,,$2739.27,Bank
Gas,2/4/2018,,$10.01,Transportation,,Bank,-$10.01,,$2729.26,Bank
USB to Ethernet Adapter,2/5/2018,,$15.14,Tech,,Bank,-$15.14,,$2714.12,Bank
Bio Trip,2/8/2018,,$25.00,Food,,Cash,-$25.00,,$2689.12,Cash
2-9 Paycheck,2/9/2018,$120.51,,Work,Bank,,$120.51,,$2809.63,Bank
TU CS & HG Interview Trip,2/22/2018,$500.00,$500.00,Travel,Bank,Bank,$0.00,,$2809.63,BankBank
Walmart Trip,3/3/2018,$14.50,$29.74,Food,Cash,Bank,-$15.24,,$2794.39,CashBank
Bio Trip,3/7/2018,,$3.00,Food,,Cash,-$3.00,,$2791.39,Cash
3-9 Paycheck,3/9/2018,$41.85,,Work,Bank,,$41.85,,$2833.24,Bank
Spotify,3/12/2018,,$10.81,Entertainment,,Bank,-$10.81,,$2822.43,Bank
iPhone 7 128G,3/16/2018,,$424.62,Tech,,Bank,-$424.62,,$2397.81,Bank
iPhone 7 128G,3/16/2018,,$25.00,Tech,,Gift Card,-$25.00,,$2372.81,Gift Card
Screen Protector,3/16/2018,,$8.99,Tech,,Bank,-$8.99,,$2363.82,Bank
Case,3/16/2018,,$13.95,Tech,,Bank,-$13.95,,$2349.87,Bank
3-23 Paycheck,3/26/2018,$43.52,,Work,Bank,,$43.52,,$2393.39,Bank
Tax Refund,3/28/2018,$176.39,,Work,Bank,,$176.39,,$2569.78,Bank
Movie Ticket,3/31/2018,,$5.50,Entertainment,,Cash,-$5.50,,$2564.28,Cash
4-6 Paycheck,4/6/2018,$90.39,,Work,Bank,,$90.39,,$2654.67,Bank
Class Dues,4/7/2018,,$20.00,Entertainment,,Cash,-$20.00,,$2634.67,Cash
Prius Gas,4/8/2018,$6.84,$16.89,Transportation,Cash,Bank,-$10.05,,$2624.62,CashBank
Chickfillet,4/8/2018,,$8.00,Food,,Cash,-$8.00,,$2616.62,Cash
Lightning to 3.5mm,4/9/2018,,$9.74,Tech,,Bank,-$9.74,,$2606.88,Bank
Spotify,4/10/2018,,$5.40,Entertainment,,Bank,-$5.40,,$2601.48,Bank
Bubble Soccer,4/13/2018,,$10.00,Entertainment,,Cash,-$10.00,,$2591.48,Cash
4-20 Paycheck,4/20/2018,$50.22,,Work,Bank,,$50.22,,$2641.70,Bank
Lockheed Martin,4/21/2018,$16.00,,Food,Cash,,$16.00,,$2657.70,Cash
CS AP Test,4/23/2018,,$53.00,Education,,Bank,-$53.00,,$2604.70,Bank
UIL State Food,5/5/2018,$43.00,,Food,Cash,,$43.00,,$2647.70,Cash
UIL State McDonalds,5/5/2018,,$8.65,Food,,Bank,-$8.65,,$2639.05,Bank
Tiger Creek,5/7/2018,,$6.50,Entertainment,,Cash,-$6.50,,$2632.55,Cash
Walmart Trip,5/7/2018,$11.00,$20.81,Food,Cash,Bank,-$9.81,,$2622.74,CashBank
Spotify,5/10/2018,,$5.40,Entertainment,,Bank,-$5.40,,$2617.34,Bank
Tercel Gas,5/12/2018,,$16.13,Transportation,,Bank,-$16.13,,$2601.21,Bank
McDonalds,5/18/2018,,$4.27,Food,,Bank,-$4.27,,$2596.94,Bank
5-18 Paycheck,5/18/2018,$46.87,,Work,Bank,,$46.87,,$2643.81,Bank
Grad Tickets,5/25/2018,$5.75,,Food,Cash,,$5.75,,$2649.56,Cash
Mom & Dad Graduation Gift,5/26/2018,$20.00,,Gift,Cash,,$20.00,,$2669.56,Cash
Grandparents Campbell Grad Gift,5/26/2018,$100.00,,Gift,Bank,,$100.00,,$2769.56,Bank
6-1 Paycheck,6/1/2018,$90.40,,Work,Bank,,$90.40,,$2859.96,Bank
Deposit,6/3/2018,$120.00,$120.00,Misc,Bank,Cash,$0.00,,$2859.96,BankCash
6-15 Paycheck,6/15/2018,$355.58,,Work,Bank,,$355.58,,$3215.54,Bank
Screen Protector,6/16/2018,,$7.99,Tech,,Bank,-$7.99,,$3207.55,Bank
Charging Cables,6/16/2018,,$9.99,Tech,,Bank,-$9.99,,$3197.56,Bank
Bluetooth Headphones,6/16/2018,,$14.43,Tech,,Bank,-$14.43,,$3183.13,Bank
Grandpa Flowers,6/16/2018,,$8.00,Gift,,Cash,-$8.00,,$3175.13,Cash
Apple Subscription,6/16/2018,,$5.40,Entertainment,,Cash,-$5.40,,$3169.73,Cash
Incredibles 2 Ticket,6/17/2018,,$6.22,Entertainment,,Bank,-$6.22,,$3163.51,Bank
Fathers Day Ticket,6/17/2018,,$6.22,Gift,,Bank,-$6.22,,$3157.29,Bank
Darkest Hour-Vudu,6/22/2018,,$2.98,Gift,,Bank,-$2.98,,$3154.31,Bank
Gas,6/28/2018,$40.00,$40.44,Transportation,Cash,Bank,-$0.44,,$3153.87,CashBank
6-28 Paycheck,6/28/2018,$194.16,,Work,Bank,,$194.16,,$3348.03,Bank
Apple Subscription,7/3/2018,,$5.40,Entertainment,,Bank,-$5.40,,$3342.63,Bank
7-13 Paycheck,7/13/2018,$501.85,,Work,Bank,,$501.85,,$3844.48,Bank
Whatz Up,7/14/2018,$10.00,$32.48,Entertainment,Cash,Discover,-$22.48,,$3822.00,CashDiscover
Sonic,7/14/2018,,$1.79,Food,,Discover,-$1.79,,$3820.21,Discover
Odyssey Gas,7/16/2018,,$36.16,Transportation,,Bank,-$36.16,,$3784.05,Bank
Passport Photo,7/18/2018,,$8.05,Fees,,Discover,-$8.05,,$3776.00,Discover
Taylor Semester 1,7/22/2018,,$104.50,Direct College,,Bank,-$104.50,,$3671.50,Bank
2018 iPad 32GB,7/22/2018,,$334.49,Ed Tech,,Discover,-$334.49,,$3337.01,Discover
Apple Pencil,7/22/2018,,$96.34,Ed Tech,,Discover,-$96.34,,$3240.67,Discover
iPad Accessories,7/22/2018,,$8.98,Ed Tech,,Discover,-$8.98,,$3231.69,Discover
Ally Interest Checking Deposit,7/24/2018,$50.00,$50.00,Misc,Checking,Bank,$0.00,,$3231.69,CheckingBank
Ally Savings Deposit,7/24/2018,$3540.42,$3540.42,Misc,Savings,Bank,$0.00,,$3231.69,SavingsBank
Notability,7/26/2018,,$10.81,Ed Tech,,Bank,-$10.81,,$3220.88,Bank
Paycheck,7/27/2018,$459.30,,Work,Bank,,$459.30,,$3680.18,Bank
Pay Tim For iPad,7/28/2018,,$25.00,Ed Tech,,Checking,-$25.00,,$3655.18,Checking
Goodwill Clothes,7/29/2018,,$11.00,Clothes,,Discover,-$11.00,,$3644.18,Discover
Feed Cat,7/29/2018,$10.00,,Work,Savings,,$10.00,,$3654.18,Savings
Passport Fees,7/30/2018,$111.20,$257.40,Fees,Savings,Bank,-$146.20,,$3507.98,SavingsBank
Transfer,7/30/2018,$25.00,$25.00,Misc,Checking,Savings,$0.00,,$3507.98,CheckingSavings
Apple Subscription,8/3/2018,,$5.40,Entertainment,,Bank,-$5.40,,$3502.58,Bank
RTL&C Scholarship,8/8/2018,$1000.00,,Gift,Savings,,$1000.00,,$4502.58,Savings
Van Gas,8/8/2018,,$4.88,Transportation,,Discover,-$4.88,,$4497.70,Discover
8-10 Paycheck,8/10/2018,$492.90,,Work,Savings,,$492.90,,$4990.60,Savings
Interest,8/11/2018,$2.79,,Interest ,Savings,,$2.79,,$4993.39,Savings
Bluetooth Keyboard,8/13/2018,,$25.97,Ed Tech,,Discover,-$25.97,,$4967.42,Discover
Audible,8/13/2018,,$16.18,Entertainment,,Bank,-$16.18,,$4951.24,Bank
Liz Borrow for College,8/18/2018,$2454.22,$2454.22,Misc,Liz,Savings,$0.00,,$4951.24,LizSavings
Discover Payment,8/21/2018,$523.98,$518.67,Interest ,Discover,Savings,$5.31,,$4956.55,DiscoverSavings
School Shopping @ Walmart,8/21/2018,,$33.91,Groceries,,Discover,-$33.91,,$4922.64,Discover
Computer Science Distilled,8/23/2018,,$19.00,Textbook,,Discover,-$19.00,,$4903.64,Discover
Amazon Textbooks,8/23/2018,,$75.55,Textbook,,Discover,-$75.55,,$4828.09,Discover
Paycheck,8/24/2018,$401.85,,Work,Savings,,$401.85,,$5229.94,Savings
BIB LIT Books,8/24/2018,,$38.51,Textbook,,Discover,-$38.51,,$5191.43,Discover
Ethernet cable,8/27/2018,,$9.99,Tech,,Discover,-$9.99,,$5181.44,Discover
Interpersonal Speaking Textbook,8/27/2018,,$48.57,Textbook,,Bank,-$48.57,,$5132.87,Bank
IAS 110 Workbook,8/28/2018,,$5.34,Textbook,,Discover,-$5.34,,$5127.53,Discover
Essentials of Discrete Math Textbook,8/31/2018,,$10.69,Textbook,,Discover,-$10.69,,$5116.84,Discover
Turning Pt 1-Yr Sub,8/31/2018,,$24.99,Textbook,,Discover,-$24.99,,$5091.85,Discover
Black Panther,9/1/2018,,$5.40,Entertainment,,Discover,-$5.40,,$5086.45,Discover
iPhone Case,9/2/2018,,$16.04,Tech,,Discover,-$16.04,,$5070.41,Discover
Apple Subscription ,9/3/2018,,$5.40,Entertainment,,Discover,-$5.40,,$5065.01,Discover
TrojanSec Bowling,9/7/2018,,$8.00,Entertainment,,Cash,-$8.00,,$5057.01,Cash
Notability Mac,9/10/2018,,$10.81,Ed Tech,,Discover,-$10.81,,$5046.20,Discover
Interest,9/10/2018,$5.15,,Interest ,Savings,,$5.15,,$5051.35,Savings
CS Retreat,9/11/2018,$250.00,$250.00,Fees,TU Account,Savings,$0.00,,$5051.35,TU AccountSavings
Pizza,9/14/2018,,$2.00,Food,,Checking,-$2.00,,$5049.35,Checking
Incredibles 2,9/15/2018,,$2.00,Entertainment,,Cash,-$2.00,,$5047.35,Cash
MuKappa Retreat,9/18/2018,$5.00,$20.00,Fees,Checking,Cash,-$15.00,,$5032.35,CheckingCash
AP Credit,9/20/2018,,$240.00,Fees,,TU Account,-$240.00,,$4792.35,TU Account
Discover Cashback,9/22/2018,$2.45,,Interest ,Discover,,$2.45,,$4794.80,Discover
Discover Payment,9/22/2018,$242.37,$242.37,Misc,Discover,Savings,$0.00,,$4794.80,DiscoverSavings
Solo,9/22/2018,$1.50,$3.00,Entertainment,Checking,Cash,-$1.50,,$4793.30,CheckingCash
Soap/Shampoo,9/22/2018,,$5.25,Cosmetics,,Discover,-$5.25,,$4788.05,Discover
Haircut,9/22/2018,,$18.27,Cosmetics,,Discover,-$18.27,,$4769.78,Discover
Amazon Bike Stuff,9/25/2018,,$26.50,Transportation,,Discover,-$26.50,,$4743.28,Discover
Bike Tool Kit,9/25/2018,,$18.16,Transportation,,Discover,-$18.16,,$4725.12,Discover
Bible,9/25/2018,,$12.90,Education,,Discover,-$12.90,,$4712.22,Discover
Cosmetics,9/25/2018,,$15.52,Cosmetics,,Discover,-$15.52,,$4696.70,Discover
Bike Handles,9/25/2018,,$6.99,Transportation,,Discover,-$6.99,,$4689.71,Discover
Highlighters,9/25/2018,,$2.96,Education,,Discover,-$2.96,,$4686.75,Discover
Apple Subscription,10/3/2018,,$5.40,Entertainment,,Discover,-$5.40,,$4681.35,Discover
Interest,10/10/2018,$3.31,,Interest ,Savings,,$3.31,,$4684.66,Savings
Scarf,10/15/2018,,$6.99,Clothes,,Discover,-$6.99,,$4677.67,Discover
Wrench,10/15/2018,,$12.20,Transportation,,Discover,-$12.20,,$4665.47,Discover
Tire Patches,10/15/2018,,$5.72,Transportation,,Discover,-$5.72,,$4659.75,Discover
Honors Symphony Event,10/16/2018,,$5.00,Entertainment,,Cash,-$5.00,,$4654.75,Cash
Unaccounted $5,10/17/2018,,$5.00,Misc,,Cash,-$5.00,,$4649.75,Cash
FOSO Soccer Team,10/19/2018,,$5.79,Fees,,Discover,-$5.79,,$4643.96,Discover
Gerig Soccer Team,10/21/2018,,$5.79,Fees,,Discover,-$5.79,,$4638.17,Discover
Audible,10/27/2018,,$16.18,Entertainment,,Discover,-$16.18,,$4621.99,Discover
Skyzone,10/27/2018,,$19.00,Entertainment,,Discover,-$19.00,,$4602.99,Discover
Culvers-Ice Cream,10/27/2018,,$3.99,Food,,Discover,-$3.99,,$4599.00,Discover
Derek Soccer,10/30/2018,$5.79,$5.79,Misc,Cash,Discover,$0.00,,$4599.00,CashDiscover
Adrian,10/30/2018,,$10.00,Tithe (Legal),,Cash,-$10.00,,$4589.00,Cash
Bowling,11/2/2018,,$7.50,Entertainment,,Discover,-$7.50,,$4581.50,Discover
Apple Subscription,11/3/2018,,$5.40,Entertainment,,Discover,-$5.40,,$4576.10,Discover
Interest,11/10/2018,$3.32,,Interest ,Savings,,$3.32,,$4579.42,Savings
Credit Card Payment,11/17/2018,$147.67,$147.67,Misc,Discover,Savings,$0.00,,$4579.42,DiscoverSavings
Into the woods,11/18/2018,,$20.00,Entertainment,,Discover,-$20.00,,$4559.42,Discover
Apple Subscription,11/23/2018,$100.00,$80.00,Entertainment,Gift Card,Discover,$20.00,,$4579.42,Gift CardDiscover
Chuys Mexican Restaurant,11/23/2018,,$6.40,Food,,Discover,-$6.40,,$4573.02,Discover
Becky & Ed Christmas Gift,11/24/2018,,$10.00,Gift,,Cash,-$10.00,,$4563.02,Cash
Thanksgiving Gas Money,11/25/2018,,$5.00,Transportation,,Cash,-$5.00,,$4558.02,Cash
Screen Protector,11/26/2018,,$8.99,Tech,,Discover,-$8.99,,$4549.03,Discover
Bluetooth Speaker,11/26/2018,,$27.99,Tech,,Discover,-$27.99,,$4521.04,Discover
Apple Watch,11/26/2018,$50.00,$327.13,Tech,Gift Card,Discover,-$277.13,,$4243.91,Gift CardDiscover
Gerig Sweatshirt for Tim,11/26/2018,,$20.33,Gift,,Discover,-$20.33,,$4223.58,Discover
Transfer,11/27/2018,$170.94,$170.94,Misc,Savings,Bank,$0.00,,$4223.58,SavingsBank
Train Ticket,11/27/2018,$90.00,$90.00,Travel,Savings,Discover,$0.00,,$4223.58,SavingsDiscover
Apple Subscription,12/3/2018,,$5.40,Entertainment,,Gift Card,-$5.40,,$4218.18,Gift Card
Duffel Bag,12/9/2018,,$27.25,Travel,,Discover,-$27.25,,$4190.93,Discover
Interest,12/10/2018,$3.30,,Interest ,Savings,,$3.30,,$4194.23,Savings
Rice Pilaf,12/11/2018,,$1.00,Entertainment,,Cash,-$1.00,,$4193.23,Cash
